2023-12-20 19:32:53.607 INFO  --- [UserRealm.java:35][http-nio-8080-exec-2] - permission的值为:{"menuList":["request","role","classMember","systemNotice","join","classNotice","login","message","class","user"],"roleId":1,"nickname":"1","roleName":"admin","permissionList":["systemNotice:manage","systemNotice:list","request:delete","user:list","role:update","login:logout","message:add","role:add","login:getInfo","join:list","message:delete","role:list","class:delete","login:auth","message:update","role:delete","class:update","systemNotice:add","join:update","user:add","requestClass:add","classNotice:delete","user:update","systemNotice:delete","classMember:delete","classNotice:add","requestClass:list","requestRegist:list","requestRegist:update","requestClass:update","message:list","classNotice:list"],"userId":1,"username":"1"}
2023-12-20 19:32:53.607 INFO  --- [UserRealm.java:36][http-nio-8080-exec-2] - 本用户权限为:[systemNotice:manage, systemNotice:list, request:delete, user:list, role:update, login:logout, message:add, role:add, login:getInfo, join:list, message:delete, role:list, class:delete, login:auth, message:update, role:delete, class:update, systemNotice:add, join:update, user:add, requestClass:add, classNotice:delete, user:update, systemNotice:delete, classMember:delete, classNotice:add, requestClass:list, requestRegist:list, requestRegist:update, requestClass:update, message:list, classNotice:list]
2023-12-20 19:32:59.772 INFO  --- [UserRealm.java:35][http-nio-8080-exec-3] - permission的值为:{"menuList":["classMember","systemNotice","join","classNotice","message","login","class"],"roleId":3,"nickname":"33333","roleName":"teacher","permissionList":["systemNotice:list","message:add","login:logout","classNotice:delete","requestClass:add","classMember:delete","login:getInfo","classNotice:add","join:list","message:delete","message:update","class:delete","login:auth","class:update","message:list","classNotice:list","join:update"],"userId":8,"username":"3"}
2023-12-20 19:32:59.772 INFO  --- [UserRealm.java:36][http-nio-8080-exec-3] - 本用户权限为:[systemNotice:list, message:add, login:logout, classNotice:delete, requestClass:add, classMember:delete, login:getInfo, classNotice:add, join:list, message:delete, message:update, class:delete, login:auth, class:update, message:list, classNotice:list, join:update]
2023-12-20 19:32:59.786 INFO  --- [UserRealm.java:35][http-nio-8080-exec-1] - permission的值为:{"menuList":["classMember","systemNotice","join","classNotice","message","login","class"],"roleId":3,"nickname":"33333","roleName":"teacher","permissionList":["systemNotice:list","message:add","login:logout","classNotice:delete","requestClass:add","classMember:delete","login:getInfo","classNotice:add","join:list","message:delete","message:update","class:delete","login:auth","class:update","message:list","classNotice:list","join:update"],"userId":8,"username":"3"}
2023-12-20 19:32:59.787 INFO  --- [UserRealm.java:36][http-nio-8080-exec-1] - 本用户权限为:[systemNotice:list, message:add, login:logout, classNotice:delete, requestClass:add, classMember:delete, login:getInfo, classNotice:add, join:list, message:delete, message:update, class:delete, login:auth, class:update, message:list, classNotice:list, join:update]
2023-12-20 19:33:40.656 INFO  --- [UserRealm.java:35][http-nio-8080-exec-3] - permission的值为:{"menuList":["classMember","systemNotice","join","classNotice","message","login","class"],"roleId":3,"nickname":"33333","roleName":"teacher","permissionList":["systemNotice:list","message:add","login:logout","classNotice:delete","requestClass:add","classMember:delete","login:getInfo","classNotice:add","join:list","message:delete","message:update","class:delete","login:auth","class:update","message:list","classNotice:list","join:update"],"userId":8,"username":"3"}
2023-12-20 19:33:40.656 INFO  --- [UserRealm.java:36][http-nio-8080-exec-3] - 本用户权限为:[systemNotice:list, message:add, login:logout, classNotice:delete, requestClass:add, classMember:delete, login:getInfo, classNotice:add, join:list, message:delete, message:update, class:delete, login:auth, class:update, message:list, classNotice:list, join:update]
2023-12-20 19:33:40.674 INFO  --- [UserRealm.java:35][http-nio-8080-exec-1] - permission的值为:{"menuList":["classMember","systemNotice","join","classNotice","message","login","class"],"roleId":3,"nickname":"33333","roleName":"teacher","permissionList":["systemNotice:list","message:add","login:logout","classNotice:delete","requestClass:add","classMember:delete","login:getInfo","classNotice:add","join:list","message:delete","message:update","class:delete","login:auth","class:update","message:list","classNotice:list","join:update"],"userId":8,"username":"3"}
2023-12-20 19:33:40.674 INFO  --- [UserRealm.java:36][http-nio-8080-exec-1] - 本用户权限为:[systemNotice:list, message:add, login:logout, classNotice:delete, requestClass:add, classMember:delete, login:getInfo, classNotice:add, join:list, message:delete, message:update, class:delete, login:auth, class:update, message:list, classNotice:list, join:update]
